epoch,correlate,loss,mae,val_correlate,val_loss,val_mae
0,0.14770996570587158,0.6427896618843079,0.3126683831214905,0.27215152978897095,1.0247639417648315,0.29691511392593384
1,0.2937687635421753,0.5394314527511597,0.27331554889678955,0.34820955991744995,0.8877099752426147,0.2359198033809662
2,0.42934301495552063,0.4269291162490845,0.20266690850257874,0.48709794878959656,0.6917662620544434,0.1788637340068817
3,0.49930477142333984,0.3690842390060425,0.16864317655563354,0.5301953554153442,0.6333550214767456,0.1635507047176361
4,0.5286006331443787,0.3484591841697693,0.15956032276153564,0.5608198642730713,0.5893378257751465,0.1501578390598297
5,0.5432603359222412,0.3358026146888733,0.1529533863067627,0.5769553780555725,0.5732248425483704,0.15017977356910706
6,0.5604490041732788,0.32494843006134033,0.14837881922721863,0.5820617079734802,0.5621941089630127,0.14425614476203918
7,0.5724234580993652,0.31592077016830444,0.14529553055763245,0.5875590443611145,0.5553417205810547,0.14290061593055725
8,0.5787481069564819,0.3112329840660095,0.14342303574085236,0.5984886884689331,0.5407119393348694,0.1392010748386383
9,0.5886249542236328,0.3040729761123657,0.14083120226860046,0.5889211893081665,0.5552915334701538,0.14421239495277405
10,0.5926516652107239,0.30164504051208496,0.13961103558540344,0.608842134475708,0.5264654159545898,0.13530738651752472
11,0.59868985414505,0.29723072052001953,0.1384088099002838,0.6060199737548828,0.5306172370910645,0.1366371512413025
12,0.6023091673851013,0.29445159435272217,0.13739188015460968,0.6164131164550781,0.5186917185783386,0.13510432839393616
13,0.6089001893997192,0.29049602150917053,0.13611102104187012,0.6188938617706299,0.5156487226486206,0.13454225659370422
14,0.6154934167861938,0.28662845492362976,0.13515812158584595,0.6208515167236328,0.5123118162155151,0.13316354155540466
15,0.6205029487609863,0.28305119276046753,0.1340535432100296,0.6242422461509705,0.5082756280899048,0.13251769542694092
16,0.6225811839103699,0.281969279050827,0.1335587203502655,0.6308344602584839,0.5006634593009949,0.13149824738502502
17,0.6251435279846191,0.28044968843460083,0.13320451974868774,0.6259912252426147,0.5074154734611511,0.13340677320957184
18,0.6293408870697021,0.2767082452774048,0.1319390833377838,0.6307934522628784,0.5002112984657288,0.13100433349609375
19,0.6322962641716003,0.2761233150959015,0.1320197731256485,0.6310561895370483,0.5023912787437439,0.13344687223434448
20,0.6341191530227661,0.27354753017425537,0.13099879026412964,0.6325554847717285,0.49949830770492554,0.13205403089523315
21,0.636028528213501,0.2723332643508911,0.13091972470283508,0.6332263350486755,0.4968131184577942,0.13003899157047272
22,0.6368938684463501,0.2708536684513092,0.1305989921092987,0.6360491514205933,0.4952363669872284,0.1312848925590515
23,0.640426754951477,0.2696988582611084,0.13031312823295593,0.6379941701889038,0.49231478571891785,0.1303091049194336
24,0.6400833129882812,0.26985964179039,0.130253404378891,0.633709192276001,0.4961467981338501,0.1298559606075287
25,0.6412583589553833,0.26993528008461,0.1300680786371231,0.637891411781311,0.49246150255203247,0.13035281002521515
26,0.6417433023452759,0.2691296339035034,0.13011202216148376,0.636009693145752,0.49593091011047363,0.1319405883550644
27,0.6476337909698486,0.26523464918136597,0.1291959583759308,0.6413009166717529,0.48811203241348267,0.1294131577014923
28,0.648681104183197,0.2645017206668854,0.12895265221595764,0.6418896913528442,0.487396776676178,0.1292869746685028
29,0.6481678485870361,0.26446908712387085,0.12844456732273102,0.6422494649887085,0.48705828189849854,0.12930765748023987
30,0.6515648365020752,0.262998104095459,0.12850993871688843,0.6434029936790466,0.48606300354003906,0.12946602702140808
31,0.6468159556388855,0.2660069465637207,0.12897151708602905,0.6423702239990234,0.4871000647544861,0.12946969270706177
32,0.6502878665924072,0.26344335079193115,0.12822142243385315,0.6432508230209351,0.48583167791366577,0.12908244132995605
33,0.6497238278388977,0.26430290937423706,0.12879745662212372,0.644288182258606,0.48462003469467163,0.12890854477882385
34,0.6525881290435791,0.26231688261032104,0.12819534540176392,0.6445519924163818,0.4842056632041931,0.1287575364112854
35,0.6520885229110718,0.26253730058670044,0.12842965126037598,0.6450519561767578,0.483792781829834,0.12884455919265747
36,0.6485607624053955,0.264337956905365,0.12861672043800354,0.644702672958374,0.48436492681503296,0.12906792759895325
37,0.651573657989502,0.26166653633117676,0.12810219824314117,0.6443531513214111,0.4843181073665619,0.12867143750190735
38,0.65118008852005,0.2624422609806061,0.12791594862937927,0.6447272300720215,0.48422056436538696,0.1289481520652771
39,0.6521525979042053,0.26253414154052734,0.12831354141235352,0.6446840763092041,0.48417341709136963,0.12885797023773193
40,0.6504994630813599,0.2637791633605957,0.12858569622039795,0.6446142196655273,0.484719455242157,0.129333958029747
41,0.6515471339225769,0.26253044605255127,0.12803566455841064,0.6456922292709351,0.48285457491874695,0.12854763865470886
42,0.6535706520080566,0.26184535026550293,0.128168523311615,0.6448495388031006,0.4841681718826294,0.12901774048805237
43,0.653209388256073,0.26213598251342773,0.1282159388065338,0.6450477838516235,0.4841548204421997,0.12920287251472473
44,0.6535592079162598,0.2617920935153961,0.12814155220985413,0.6445870399475098,0.4844869375228882,0.1290743052959442
45,0.6534199118614197,0.2622877359390259,0.1281159222126007,0.6455076932907104,0.4832797944545746,0.12878736853599548
46,0.6527277827262878,0.26219305396080017,0.12795424461364746,0.6451979875564575,0.4836050271987915,0.12880349159240723
47,0.6521948575973511,0.26199620962142944,0.12772709131240845,0.6457939743995667,0.48305168747901917,0.1288454681634903
